"project_name","generated_at","total_successes","total_failures","total_errors","started_at","total_time","url","all_tests_passed","test_name"
"Snippets API","2021-06-11 16:08:42",16,0,0,"2021-06-11 16:08:42.404744","0:00:02.049805","http://demo.scanapi.dev/api/v1/snippets/",True,"snippets-api::snippets::create::style_in_content"
"Snippets API","2021-06-11 16:08:42",27,0,0,"2021-06-11 16:08:42.404744","0:00:02.561183","http://demo.scanapi.dev/api/v1/snippets/232/",True,"snippets-api::snippets::details::status_code_is_200"
"Snippets API","2021-06-11 16:08:42",27,0,0,"2021-06-11 16:08:42.404744","0:00:02.561226","http://demo.scanapi.dev/api/v1/snippets/232/",True,"snippets-api::snippets::details::response_time_is_under_a_second"
"Snippets API","2021-06-11 16:08:42",27,0,0,"2021-06-11 16:08:42.404744","0:00:02.561261","http://demo.scanapi.dev/api/v1/snippets/232/",True,"snippets-api::snippets::details::url_in_content"
"Snippets API","2021-06-11 16:08:42",27,0,0,"2021-06-11 16:08:42.404744","0:00:02.561297","http://demo.scanapi.dev/api/v1/snippets/232/",True,"snippets-api::snippets::details::id_in_content"
"Snippets API","2021-06-11 16:08:42",27,0,0,"2021-06-11 16:08:42.404744","0:00:02.561378","http://demo.scanapi.dev/api/v1/snippets/232/",True,"snippets-api::snippets::details::highlight_in_content"
"Snippets API","2021-06-11 16:08:42",27,0,0,"2021-06-11 16:08:42.404744","0:00:02.561412","http://demo.scanapi.dev/api/v1/snippets/232/",True,"snippets-api::snippets::details::owner_in_content"
"Snippets API","2021-06-11 16:08:42",27,0,0,"2021-06-11 16:08:42.404744","0:00:02.561439","http://demo.scanapi.dev/api/v1/snippets/232/",True,"snippets-api::snippets::details::title_in_content"
"Snippets API","2021-06-11 16:08:42",27,0,0,"2021-06-11 16:08:42.404744","0:00:02.561466","http://demo.scanapi.dev/api/v1/snippets/232/",True,"snippets-api::snippets::details::code_in_content"
"Snippets API","2021-06-11 16:08:42",27,0,0,"2021-06-11 16:08:42.404744","0:00:02.561492","http://demo.scanapi.dev/api/v1/snippets/232/",True,"snippets-api::snippets::details::linenos_in_content"
"Snippets API","2021-06-11 16:08:42",27,0,0,"2021-06-11 16:08:42.404744","0:00:02.561517","http://demo.scanapi.dev/api/v1/snippets/232/",True,"snippets-api::snippets::details::language_in_content"
"Snippets API","2021-06-11 16:08:42",27,0,0,"2021-06-11 16:08:42.404744","0:00:02.561543","http://demo.scanapi.dev/api/v1/snippets/232/",True,"snippets-api::snippets::details::style_in_content"
"Snippets API","2021-06-11 16:08:42",38,0,0,"2021-06-11 16:08:42.404744","0:00:03.073326","http://demo.scanapi.dev/api/v1/snippets/232/",True,"snippets-api::snippets::update_with_patch::status_code_is_200"
"Snippets API","2021-06-11 16:08:42",38,0,0,"2021-06-11 16:08:42.404744","0:00:03.073384","http://demo.scanapi.dev/api/v1/snippets/232/",True,"snippets-api::snippets::update_with_patch::response_time_is_under_a_second"
"Snippets API","2021-06-11 16:08:42",38,0,0,"2021-06-11 16:08:42.404744","0:00:03.073425","http://demo.scanapi.dev/api/v1/snippets/232/",True,"snippets-api::snippets::update_with_patch::url_in_content"
"Snippets API","2021-06-11 16:08:42",38,0,0,"2021-06-11 16:08:42.404744","0:00:03.073468","http://demo.scanapi.dev/api/v1/snippets/232/",True,"snippets-api::snippets::update_with_patch::id_in_content"
"Snippets API","2021-06-11 16:08:42",38,0,0,"2021-06-11 16:08:42.404744","0:00:03.073507","http://demo.scanapi.dev/api/v1/snippets/232/",True,"snippets-api::snippets::update_with_patch::highlight_in_content"
"Snippets API","2021-06-11 16:08:42",38,0,0,"2021-06-11 16:08:42.404744","0:00:03.073546","http://demo.scanapi.dev/api/v1/snippets/232/",True,"snippets-api::snippets::update_with_patch::owner_in_content"
"Snippets API","2021-06-11 16:08:42",38,0,0,"2021-06-11 16:08:42.404744","0:00:03.073584","http://demo.scanapi.dev/api/v1/snippets/232/",True,"snippets-api::snippets::update_with_patch::title_in_content"
"Snippets API","2021-06-11 16:08:42",38,0,0,"2021-06-11 16:08:42.404744","0:00:03.073624","http://demo.scanapi.dev/api/v1/snippets/232/",True,"snippets-api::snippets::update_with_patch::code_in_content"
"Snippets API","2021-06-11 16:08:42",38,0,0,"2021-06-11 16:08:42.404744","0:00:03.073664","http://demo.scanapi.dev/api/v1/snippets/232/",True,"snippets-api::snippets::update_with_patch::linenos_in_content"
"Snippets API","2021-06-11 16:08:42",38,0,0,"2021-06-11 16:08:42.404744","0:00:03.073703","http://demo.scanapi.dev/api/v1/snippets/232/",True,"snippets-api::snippets::update_with_patch::language_in_content"
"Snippets API","2021-06-11 16:08:42",38,0,0,"2021-06-11 16:08:42.404744","0:00:03.073741","http://demo.scanapi.dev/api/v1/snippets/232/",True,"snippets-api::snippets::update_with_patch::style_in_content"
"Snippets API","2021-06-11 16:08:42",49,0,0,"2021-06-11 16:08:42.404744","0:00:03.585101","http://demo.scanapi.dev/api/v1/snippets/232/",True,"snippets-api::snippets::snippet_update_with_put::status_code_is_200"
"Snippets API","2021-06-11 16:08:42",49,0,0,"2021-06-11 16:08:42.404744","0:00:03.585135","http://demo.scanapi.dev/api/v1/snippets/232/",True,"snippets-api::snippets::snippet_update_with_put::response_time_is_under_a_second"
"Snippets API","2021-06-11 16:08:42",49,0,0,"2021-06-11 16:08:42.404744","0:00:03.585156","http://demo.scanapi.dev/api/v1/snippets/232/",True,"snippets-api::snippets::snippet_update_with_put::url_in_content"
"Snippets API","2021-06-11 16:08:42",49,0,0,"2021-06-11 16:08:42.404744","0:00:03.585176","http://demo.scanapi.dev/api/v1/snippets/232/",True,"snippets-api::snippets::snippet_update_with_put::id_in_content"
"Snippets API","2021-06-11 16:08:42",49,0,0,"2021-06-11 16:08:42.404744","0:00:03.585196","http://demo.scanapi.dev/api/v1/snippets/232/",True,"snippets-api::snippets::snippet_update_with_put::highlight_in_content"
"Snippets API","2021-06-11 16:08:42",49,0,0,"2021-06-11 16:08:42.404744","0:00:03.585215","http://demo.scanapi.dev/api/v1/snippets/232/",True,"snippets-api::snippets::snippet_update_with_put::owner_in_content"
"Snippets API","2021-06-11 16:08:42",49,0,0,"2021-06-11 16:08:42.404744","0:00:03.585237","http://demo.scanapi.dev/api/v1/snippets/232/",True,"snippets-api::snippets::snippet_update_with_put::title_in_content"
"Snippets API","2021-06-11 16:08:42",49,0,0,"2021-06-11 16:08:42.404744","0:00:03.585257","http://demo.scanapi.dev/api/v1/snippets/232/",True,"snippets-api::snippets::snippet_update_with_put::code_in_content"
"Snippets API","2021-06-11 16:08:42",49,0,0,"2021-06-11 16:08:42.404744","0:00:03.585277","http://demo.scanapi.dev/api/v1/snippets/232/",True,"snippets-api::snippets::snippet_update_with_put::linenos_in_content"
"Snippets API","2021-06-11 16:08:42",49,0,0,"2021-06-11 16:08:42.404744","0:00:03.585296","http://demo.scanapi.dev/api/v1/snippets/232/",True,"snippets-api::snippets::snippet_update_with_put::language_in_content"
"Snippets API","2021-06-11 16:08:42",49,0,0,"2021-06-11 16:08:42.404744","0:00:03.585330","http://demo.scanapi.dev/api/v1/snippets/232/",True,"snippets-api::snippets::snippet_update_with_put::style_in_content"
"Snippets API","2021-06-11 16:08:42",50,0,0,"2021-06-11 16:08:42.404744","0:00:04.099079","http://demo.scanapi.dev/api/v1/snippets/232/",True,"snippets-api::snippets::delete::status_code_is_204"
"Snippets API","2021-06-11 16:08:42",51,0,0,"2021-06-11 16:08:42.404744","0:00:04.710953","http://demo.scanapi.dev/api/v1/snippets/",True,"snippets-api::snippets::list_all::status_code_is_200"
"Snippets API","2021-06-11 16:08:42",53,0,0,"2021-06-11 16:08:42.404744","0:00:05.157615","http://demo.scanapi.dev/api/v1/users/",True,"snippets-api::users::list_all::status_code_is_200"
"Snippets API","2021-06-11 16:08:42",53,0,0,"2021-06-11 16:08:42.404744","0:00:05.157654","http://demo.scanapi.dev/api/v1/users/",True,"snippets-api::users::list_all::response_time_is_under_a_second"
"Snippets API","2021-06-11 16:08:42",55,0,0,"2021-06-11 16:08:42.404744","0:00:05.631883","http://demo.scanapi.dev/api/v1/users/2/",True,"snippets-api::users::details::status_code_is_200"
"Snippets API","2021-06-11 16:08:42",55,0,0,"2021-06-11 16:08:42.404744","0:00:05.631921","http://demo.scanapi.dev/api/v1/users/2/",True,"snippets-api::users::details::response_time_is_under_a_second"
